# Constructed from biom file
#OTU ID	KarstCh1	KarstCh2	KarstCh3	KarstCh4	KarstCh5	KarstCh6	KarstCh7	KarstCh8
aa52e53101323b1d05f8c4c6834dd1e2	0.0	0.0	8.0	0.0	11.0	11.0	11.0	11.0
92932da7dca05edc975632fb458824ad	19.0	23.0	0.0	0.0	3.0	0.0	6.0	0.0
0339ccfb629f643e3d43f092b4c942cc	9.0	13.0	15.0	10.0	0.0	0.0	0.0	4.0
3cabac392b6b6f9796130d4de82fb9d4	0.0	3.0	48.0	0.0	0.0	0.0	0.0	0.0
9421916bf80e2b05dcc79c97a0d5817e	12.0	16.0	22.0	0.0	0.0	0.0	0.0	0.0
6407a4263dbf8573a02fbaa4f61041a0	8.0	19.0	17.0	6.0	0.0	0.0	0.0	0.0
5047e63b64ad79ae907e5ee22a920e9f	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0
d8e31a678681b755107e23ac5af180b9	0.0	0.0	0.0	0.0	49.0	0.0	0.0	0.0
5bcb1b9135fd54055245b98483a69846	0.0	9.0	24.0	0.0	15.0	0.0	0.0	0.0
88a876da84ef41bfdfa61566f6e6805d	18.0	24.0	0.0	5.0	0.0	0.0	0.0	0.0
a2a9708b677472df6cb1c7cb71024e61	8.0	4.0	4.0	0.0	8.0	5.0	10.0	8.0
64b272a1b3e818b01686a5510a6dfc0f	0.0	7.0	5.0	0.0	9.0	9.0	17.0	0.0
79fdc65ad1a7adaf319790a9444d7b90	0.0	0.0	0.0	0.0	0.0	0.0	25.0	22.0
36aeced39738c118bf16b76021ce2660	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0
fc51a5d599fc576081e7a6c2ebd0e420	0.0	0.0	0.0	5.0	0.0	39.0	0.0	0.0
f402a6ec9047bc82bb459b4319255637	7.0	5.0	9.0	8.0	0.0	5.0	4.0	5.0
eb5eb0c8fbb80e2124cf32e45ac986af	0.0	6.0	0.0	15.0	0.0	22.0	0.0	0.0
55015c3ff22416b048ff4ab30fad1562	0.0	0.0	0.0	10.0	5.0	13.0	12.0	3.0
0677107a527f40eb6c3c4dfcbd0fea54	0.0	9.0	12.0	9.0	0.0	8.0	0.0	4.0
dd94dee0f0a6f7eb885409aad1bd9456	0.0	0.0	0.0	22.0	0.0	8.0	0.0	12.0
b71367bd0a5c67208bccc496deeb3ff3	2.0	5.0	11.0	4.0	0.0	5.0	10.0	4.0
08814ebaf972cda50ba1ffca2d344d0e	0.0	14.0	16.0	11.0	0.0	0.0	0.0	0.0
8d9323b1290134339f8dda7c988c6dc2	0.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
7e0271affd6ba74b4a41093d2a0e7462	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
257903137d67502772fac2ee677cfe44	0.0	0.0	39.0	0.0	0.0	0.0	0.0	0.0
5757eae267154ae3e1d62b667fc98c23	0.0	0.0	9.0	0.0	30.0	0.0	0.0	0.0
36183a72c75e8605c5273932248d9459	0.0	0.0	0.0	39.0	0.0	0.0	0.0	0.0
d437ab355f41df8dcc727e4d156db7dd	0.0	0.0	0.0	0.0	39.0	0.0	0.0	0.0
c0641fab0d04b6bdd86a9d3097ef36e0	27.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
3b7c1c6f690eaceea2fe51feb0fdbc3d	7.0	10.0	14.0	7.0	0.0	0.0	0.0	0.0
e24cbfaa140591a4218e30c10bc50a20	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0
f51b5f8b4c3988d59c13ae87656e12d7	0.0	0.0	0.0	0.0	11.0	0.0	11.0	15.0
ac866f76a5021ebd48ce4646e2a8d52d	7.0	0.0	0.0	23.0	0.0	0.0	0.0	5.0
beeddc797ab345e52c03b40f4ab87c68	5.0	0.0	0.0	0.0	8.0	7.0	10.0	5.0
92b3989cc5cd7fa08d89ccafcec0af87	4.0	12.0	14.0	5.0	0.0	0.0	0.0	0.0
a20f6c86e49ecf80767ab085df9a399d	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0
7c625c04d6d601df3ac5914b468f33ea	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0
82692425d4a2bd090c30700220d983af	0.0	0.0	0.0	8.0	18.0	9.0	0.0	0.0
3e41a003c7ef17d877ec718b1fd74b68	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0
2a594223fad9c2d3c4a6ca573320cecb	0.0	0.0	0.0	0.0	10.0	8.0	9.0	8.0
c3b927dfb154807e40b104b1cfebc877	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
d13fdb9bdcf97f3c7b195e4d884beb68	0.0	0.0	0.0	0.0	19.0	15.0	0.0	0.0
97a95b94ae9b3b7ad87074d3889a945d	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0
2d68bb1934c0ee0562a14064b55789c6	4.0	12.0	12.0	0.0	3.0	2.0	0.0	0.0
c76ea245c0536de11a1f3af53a1c31b2	3.0	0.0	3.0	0.0	5.0	8.0	8.0	6.0
3dc7de2d4c2008333cb5b7db0bdc2bcb	0.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0
6ad5d0a321cb83ef774e2361d9723546	0.0	15.0	0.0	0.0	18.0	0.0	0.0	0.0
6b8d21947efd59b7c0b80b635982bc88	0.0	0.0	28.0	0.0	0.0	0.0	0.0	5.0
c6497bf4761397444434657eec327041	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
8575d019eb5ee41ad28180f35a5a1721	0.0	16.0	0.0	16.0	0.0	0.0	0.0	0.0
c343397ff1b57d1bf055491ec82f4b58	0.0	11.0	21.0	0.0	0.0	0.0	0.0	0.0
0f1cf4a6791fb56a2218c502c377c6b8	0.0	0.0	5.0	0.0	0.0	27.0	0.0	0.0
0c734ab5d79d79481c0aa699cb47b357	3.0	3.0	4.0	0.0	5.0	10.0	0.0	6.0
224c33b4ddef13af01905ef97ce0ec55	0.0	22.0	0.0	0.0	0.0	0.0	0.0	9.0
a18c318ec517a1e463e08de67b9ddd1c	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0
5971a48ddd54f4c7a433a9da5c03e314	0.0	0.0	0.0	10.0	0.0	8.0	7.0	6.0
